,ds,y,sentiment_score
0,2021-09-30,258.49334716796875,0.7173758021348314
1,2021-10-01,258.4066772460937,0.7040341874468085
2,2021-10-04,260.510009765625,0.6993255700847457
3,2021-10-05,260.1966552734375,0.7130935055172414
4,2021-10-06,260.9166564941406,0.7199042814285714
5,2021-10-07,264.53668212890625,0.7501605498540146
6,2021-10-08,261.8299865722656,0.7171349068888888
7,2021-10-11,263.9800109863281,0.7269061718947368
8,2021-10-12,268.5733337402344,0.7131407997391305
9,2021-10-13,270.3599853515625,0.7203512534883721
10,2021-10-14,272.7733459472656,0.6925149837735849
11,2021-10-15,281.010009765625,0.7307522608450704
12,2021-10-18,290.03668212890625,0.7263376496621621
13,2021-10-19,288.0899963378906,0.6989281183928571
14,2021-10-20,288.6000061035156,0.7239900132758621
15,2021-10-21,298.0,0.7503491177374302
16,2021-10-22,303.2266540527344,0.7464248671856287
17,2021-10-25,341.6199951171875,0.7390743516122005
18,2021-10-26,339.4766540527344,0.6968194712711865
19,2021-10-27,345.9533386230469,0.707366048418079
20,2021-10-28,359.0133361816406,0.7319123488
21,2021-10-29,371.3333435058594,0.725230419946524
22,2021-11-01,402.86334228515625,0.7040632912548263
23,2021-11-02,390.6666564941406,0.7054710973170731
24,2021-11-03,404.6199951171875,0.7035942556153846
25,2021-11-04,409.9700012207031,0.7234271006711409
26,2021-11-05,407.36334228515625,0.7095317586516854
27,2021-11-08,387.6466674804688,0.6935276758525345
28,2021-11-09,341.1666564941406,0.6766731197750001
29,2021-11-10,355.9833374023437,0.695953494893617
30,2021-11-11,354.5033264160156,0.7107143959395973
31,2021-11-12,344.47332763671875,0.7166186810852714
32,2021-11-15,337.7966613769531,0.6953663415231788
33,2021-11-16,351.57666015625,0.7063271785271318
34,2021-11-17,363.0033264160156,0.7280987830973451
35,2021-11-18,365.4599914550781,0.6620226001574804
36,2021-11-19,379.0199890136719,0.7164158791869918
37,2021-11-22,385.6233215332031,0.747673975967742
38,2021-11-23,369.6766662597656,0.7442407574400001
39,2021-11-24,372.0,0.7016531171428572
40,2021-11-26,360.6400146484375,0.7002826922988505
41,2021-11-29,378.9966735839844,0.7352556710309278
42,2021-11-30,381.586669921875,0.7371702241836735
43,2021-12-01,365.0,0.7260657905217391
44,2021-12-02,361.5333251953125,0.7099410944827586
45,2021-12-03,338.3233337402344,0.6946338547008547
46,2021-12-06,336.336669921875,0.710370884875
47,2021-12-07,350.5833435058594,0.6939679650862068
48,2021-12-08,356.32000732421875,0.7447769751960783
49,2021-12-09,334.6000061035156,0.716979639906542
50,2021-12-10,339.010009765625,0.6988894154128441
51,2021-12-13,322.1366577148437,0.7323671370454545
52,2021-12-14,319.5033264160156,0.7197510846590909
53,2021-12-15,325.3299865722656,0.7226364674257425
54,2021-12-16,308.97332763671875,0.7001312790350878
55,2021-12-17,310.8566589355469,0.7088340481415929
56,2021-12-20,299.9800109863281,0.7356355067647059
57,2021-12-21,312.84332275390625,0.7294542495098039
58,2021-12-22,336.2900085449219,0.7063396793674699
59,2021-12-23,355.6666564941406,0.7364717931818181
60,2021-12-27,364.6466674804688,0.7415774696956521
61,2021-12-28,362.8233337402344,0.7370885792380952
62,2021-12-29,362.0633239746094,0.7203928527544909
63,2021-12-30,356.7799987792969,0.6975374846341463
64,2021-12-31,352.260009765625,0.704982681171875
65,2022-01-03,399.9266662597656,0.7209244173039215
66,2022-01-04,383.1966552734375,0.7175376787410072
67,2022-01-05,362.7066650390625,0.6727443625324675
68,2022-01-06,354.8999938964844,0.7230824058119659
69,2022-01-07,342.32000732421875,0.7056981660447761
70,2022-01-10,352.7066650390625,0.700737092
71,2022-01-11,354.79998779296875,0.7015860964220183
72,2022-01-12,368.739990234375,0.7067657294520548
73,2022-01-13,343.85333251953125,0.6887923100641026
74,2022-01-14,349.8699951171875,0.7068515179141105
75,2022-01-18,343.5033264160156,0.709356861010101
76,2022-01-19,331.8833312988281,0.7289947422772277
77,2022-01-20,332.0899963378906,0.7268364728846154
78,2022-01-21,314.6333312988281,0.6937328133121019
79,2022-01-24,310.0,0.7123914456097561
80,2022-01-25,306.1333312988281,0.7259923536305732
81,2022-01-26,312.4700012207031,0.7298512794694534
82,2022-01-27,276.3666687011719,0.6981468078653846
83,2022-01-28,282.1166687011719,0.7053003349456521
84,2022-01-31,312.239990234375,0.7012685313740458
85,2022-02-01,310.4166564941406,0.6695664161403508
86,2022-02-02,301.8866577148437,0.6810061759677419
87,2022-02-03,297.0466613769531,0.6878737098000001
88,2022-02-04,307.7733459472656,0.6752273619753086
89,2022-02-07,302.4466552734375,0.7018431297590362
90,2022-02-08,307.3333435058594,0.7495042123636364
91,2022-02-09,310.6666564941406,0.7119088832183909
92,2022-02-10,301.51666259765625,0.7243415186764706
93,2022-02-11,286.6666564941406,0.720763957979798
94,2022-02-14,291.9200134277344,0.7057530103571429
95,2022-02-15,307.4766540527344,0.7488710829545454
96,2022-02-16,307.7966613769531,0.7312806186666666
97,2022-02-17,292.1166687011719,0.6959957182
98,2022-02-18,285.6600036621094,0.7169104474117647
99,2022-02-22,273.84332275390625,0.7158306689320388
100,2022-02-23,254.67999267578125,0.688674543006536
101,2022-02-24,266.92333984375,0.6521985477358491
102,2022-02-25,269.9566650390625,0.7054643636065574
103,2022-02-28,290.1433410644531,0.7201509433333333
104,2022-03-01,288.1233215332031,0.7316865809210527
105,2022-03-02,293.2966613769531,0.6966447193103449
106,2022-03-03,279.7633361816406,0.7096081574444444
107,2022-03-04,279.42999267578125,0.7181538935514019
